path_id,index,x,y,z
5,19,356.3115,494.1452,229.7965
5,20,359.4604,482.5773,230.3148
5,21,362.0029,481.9502,242.0255
5,22,362.1852,479.512,253.7738
5,23,363.3245,478.936,265.7057
5,24,364.5512,479.925,277.6018
5,25,370.6012,484.1323,287.0726
5,26,379.321,492.3763,287.1093
5,27,388.4656,500.1464,287.1094
6,0,1194.7803,320.3406,237.1094
6,1,1188.2307,330.3956,237.1094
6,2,1186.3125,342.2413,237.1094
6,3,1191.2544,353.1765,237.1094
6,4,1201.4651,359.4805,237.1094
6,5,1213.3583,361.0779,237.1094
6,6,1225.0955,358.5802,237.1094
6,7,1237.002,357.1602,237.5773
6,8,1247.7504,353.5103,241.4695
6,9,1258.7695,351.7483,245.8826
6,10,1270.2457,355.2011,246.4946
6,11,1281.6376,358.9726,246.4987
6,12,1293.5219,360.6354,246.4987
6,13,1304.8046,356.5487,246.4987
6,14,1312.2618,347.1471,246.4987
6,15,1314.4029,335.3397,246.4987
6,16,1309.3611,324.4502,246.4987
6,17,1299.9539,317.0002,246.4987
6,18,1288.4017,313.7523,246.4987
6,19,1277.1846,318.0157,246.4987
6,20,1268.6813,326.4829,246.4987
6,21,1259.1128,333.7224,246.3138
6,22,1248.0777,334.1663,241.6203
6,23,1237.0581,332.4068,237.2077
6,24,1226.6966,326.3544,237.1094
6,25,1216.9979,319.288,237.1094
6,26,1205.5864,315.576,237.1094
7,0,1033.6241,555.4443,346.4987
7,1,1045.4674,553.5111,346.4987
7,2,1056.7588,549.4486,346.4987
7,3,1060.3308,537.9926,346.4987
7,4,1057.7867,526.2653,346.4987
7,5,1052.058,515.7211,346.4987
7,6,1043.047,507.7962,346.4987
7,7,1031.4053,504.886,346.4987
7,8,1019.852,508.1297,346.4987
7,9,1010.7114,515.9046,346.4987
7,10,1000.5179,522.2365,346.497
7,11,989.534,517.5791,345.2073
7,12,979.1116,517.5843,339.2597
7,13,967.2816,516.3575,337.6642
7,14,955.5047,514.1012,337.2023
7,15,943.6114,515.6956,337.1094
7,16,940.5454,527.2973,337.1094
7,17,928.6267,528.6919,337.1094
7,18,921.3931,538.2667,337.1094
7,19,924.8611,549.7546,337.1094
7,20,926.6655,561.6182,337.1094
7,21,921.2823,572.3429,337.1119
7,22,919.3279,583.7692,340.2135
7,23,931.3131,584.3656,340.214
7,24,941.0961,591.3149,340.214
7,25,942.776,603.1967,340.214
7,26,946.7204,591.8635,340.2079
